Line_0 $$ Entry-->Line_1 $$ public class func [ CD ]
Line_1 $$ public class func -->Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) [ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_3 $$ printer.print(dateFormat.format(transaction.getDate()))[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_3 $$ printer.print(dateFormat.format(transaction.getDate()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_3 $$ printer.print(dateFormat.format(transaction.getDate()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_3 $$ printer.print(dateFormat.format(transaction.getDate()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_4 $$ printer.print(CSVExporter.escapeNull(transaction.getSecurity().getIsin()))[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_4 $$ printer.print(CSVExporter.escapeNull(transaction.getSecurity().getIsin()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_4 $$ printer.print(CSVExporter.escapeNull(transaction.getSecurity().getIsin()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_5 $$ printer.print(CSVExporter.escapeNull(transaction.getSecurity().getName()))[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_5 $$ printer.print(CSVExporter.escapeNull(transaction.getSecurity().getName()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_5 $$ printer.print(CSVExporter.escapeNull(transaction.getSecurity().getName()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_6 $$ printer.print(type)[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_6 $$ printer.print(type)[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_6 $$ printer.print(type)[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_7 $$ printer.print(Values.Amount.format(transaction.getActualPurchasePrice()))[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_7 $$ printer.print(Values.Amount.format(transaction.getActualPurchasePrice()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_7 $$ printer.print(Values.Amount.format(transaction.getActualPurchasePrice()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_8 $$ printer.print(Values.Share.format(transaction.getShares()))[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_8 $$ printer.print(Values.Share.format(transaction.getShares()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_8 $$ printer.print(Values.Share.format(transaction.getShares()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_9 $$ printer.print(Values.Amount.format(transaction.getFees()))[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_9 $$ printer.print(Values.Amount.format(transaction.getFees()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_9 $$ printer.print(Values.Amount.format(transaction.getFees()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_10 $$ printer.print(Values.Amount.format(transaction.getTaxes()))[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_10 $$ printer.print(Values.Amount.format(transaction.getTaxes()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_10 $$ printer.print(Values.Amount.format(transaction.getTaxes()))[ FD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_11 $$ printer.println()[ CD ]
Line_2 $$ public void writeBuySell(CSVPrinter printer, PortfolioTransaction transaction, String type, DateFormat dateFormat) -->Line_11 $$ printer.println()[ FD ]
