Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_3 $$ String uri = urlstr [CD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_4 $$ URL url = new URL(uri) [CD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_5 $$ URLConnection connection = url.openConnection() [CD]
Line_4 $$ URL url = new URL(uri) --> Line_5 $$ URLConnection connection = url.openConnection() [FD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_6 $$ InputStream in = connection.getInputStream() [CD]
Line_5 $$ URLConnection connection = url.openConnection() --> Line_6 $$ InputStream in = connection.getInputStream() [FD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_7 $$ Reader reader = new InputStreamReader(in) [CD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_8 $$ InputSource is = new InputSourceImpl(reader, uri) [CD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_9 $$ System.out.println(is.toString()) [CD]
Line_8 $$ InputSource is = new InputSourceImpl(reader, uri) --> Line_9 $$ System.out.println(is.toString()) [FD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_10 $$ Document document = new Document() [CD]
Line_10 $$ Document document = new Document() --> Line_12 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_15 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_18 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_21 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_24 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_27 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_30 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_33 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_36 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_39 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_42 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_45 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_48 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_51 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_54 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_57 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_60 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_63 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_66 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_69 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_72 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_75 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_78 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_81 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_84 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_89 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_100 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_103 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_106 $$ return 0 [CD]
Line_10 $$ Document document = new Document() --> Line_109 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_112 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_115 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_118 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_121 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_124 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_127 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_130 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_133 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_136 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_139 $$ return 0 [CD]
Line_10 $$ Document document = new Document() --> Line_142 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_145 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_148 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_151 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_154 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_157 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_160 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_163 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_166 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_169 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_172 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_175 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_178 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_181 $$ return false [CD]
Line_10 $$ Document document = new Document() --> Line_184 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_187 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_192 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_195 $$ return null [CD]
Line_10 $$ Document document = new Document() --> Line_204 $$ return null [CD]
Line_2 $$ public static Document ByURL(String urlstr) throws IOException --> Line_207 $$ return document [CD]
