Line_4 $$ if (Comparing.equal(name, XMLNS)) -->Line_5 $$ myPrefixesStack.push("")[ CD ]
Line_4 $$ if (Comparing.equal(name, XMLNS)) -->Line_6 $$ myNamespacesStack.push(getAttributeValue(attrNode, structure).toString())[ CD ]
Line_2 $$ private void checkForXmlns(LighterASTNode attrNode, FlyweightCapableTreeStructure<LighterASTNode> structure) -->Line_3 $$ final CharSequence name = getAttributeName(attrNode, structure)[ FD ]
Line_7 $$ if (StringUtil.startsWith(name, XMLNS_COLON)) -->Line_8 $$ myPrefixesStack.push(name.subSequence(XMLNS_COLON.length(), name.length()).toString())[ CD ]
Line_2 $$ private void checkForXmlns(LighterASTNode attrNode, FlyweightCapableTreeStructure<LighterASTNode> structure) -->Line_6 $$ myNamespacesStack.push(getAttributeValue(attrNode, structure).toString())[ FD ]
Line_3 $$ final CharSequence name = getAttributeName(attrNode, structure)-->Line_8 $$ myPrefixesStack.push(name.subSequence(XMLNS_COLON.length(), name.length()).toString())[ FD ]
Line_7 $$ if (StringUtil.startsWith(name, XMLNS_COLON)) -->Line_9 $$ myNamespacesStack.push(getAttributeValue(attrNode, structure).toString())[ CD ]
Line_2 $$ private void checkForXmlns(LighterASTNode attrNode, FlyweightCapableTreeStructure<LighterASTNode> structure) -->Line_9 $$ myNamespacesStack.push(getAttributeValue(attrNode, structure).toString())[ FD ]
Line_3 $$ final CharSequence name = getAttributeName(attrNode, structure)-->Line_4 $$ if (Comparing.equal(name, XMLNS)) [ FD ]
Line_2 $$ private void checkForXmlns(LighterASTNode attrNode, FlyweightCapableTreeStructure<LighterASTNode> structure) -->Line_4 $$ if (Comparing.equal(name, XMLNS)) [ CD ]
Line_2 $$ private void checkForXmlns(LighterASTNode attrNode, FlyweightCapableTreeStructure<LighterASTNode> structure) -->Line_3 $$ final CharSequence name = getAttributeName(attrNode, structure)[ CD ]
Line_3 $$ final CharSequence name = getAttributeName(attrNode, structure)-->Line_7 $$ if (StringUtil.startsWith(name, XMLNS_COLON)) [ FD ]
Line_4 $$ if (Comparing.equal(name, XMLNS)) -->Line_7 $$ if (StringUtil.startsWith(name, XMLNS_COLON)) [ CD ]
