,x,edge_index,edge_type,y,num_nodes,api_file_name
0,"[[-0.11446595  0.2522794  -0.00092168 ... -0.18857993 -0.33944076
   0.25126988]
 [-0.11055538  0.32957357  0.1622875  ... -0.21424478 -0.31603825
   0.30951893]
 [-0.01401284  0.22035047  0.03712482 ... -0.2675653  -0.3299791
   0.1865034 ]
 [-0.06259022  0.23164612  0.05564244 ... -0.15096602 -0.34979445
   0.294975  ]
 [-0.13670173  0.3663019   0.08053534 ... -0.23216236 -0.29739755
   0.34515747]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,156_sample-0_PreparedStatement.executeQuery_graph_dump.txt
1,"[[-0.08273956  0.32143098  0.0189808  ... -0.39651436 -0.29976812
   0.2539144 ]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.1368959   0.20670372 -0.04467755 ... -0.22384521 -0.43502235
   0.24384011]
 [-0.08001809  0.2215483   0.11269392 ... -0.19681908 -0.33420074
   0.31214395]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,22_sample-0_PreparedStatement.executeQuery_graph_dump.txt
2,"[[-1.1446595e-01  2.5227940e-01 -9.2167704e-04 ... -1.8857993e-01
  -3.3944076e-01  2.5126988e-01]
 [-1.1055538e-01  3.2957357e-01  1.6228750e-01 ... -2.1424478e-01
  -3.1603825e-01  3.0951893e-01]
 [-2.4007082e-04  2.0098431e-01  2.4735127e-02 ... -2.9714513e-01
  -3.5447720e-01  1.9122486e-01]
 [-6.2590219e-02  2.3164612e-01  5.5642437e-02 ... -1.5096602e-01
  -3.4979445e-01  2.9497501e-01]
 [-1.3670173e-01  3.6630189e-01  8.0535345e-02 ... -2.3216236e-01
  -2.9739755e-01  3.4515747e-01]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,152_sample-0_PreparedStatement.executeQuery_graph_dump.txt
3,"[[-0.08957728  0.29027545  0.07911325 ... -0.28383106 -0.3399489
   0.22156246]
 [-0.11391312  0.34094498  0.16012453 ... -0.24288712 -0.307406
   0.29716364]]","[[0 1]
 [1 0]]",[1 1],[0],2,7_sample-5_PreparedStatement.executeQuery_graph_dump.txt
4,"[[-0.14182486  0.26279363  0.03890926 ... -0.11552899 -0.3341574
   0.31251317]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.09630715  0.16221315 -0.03249818 ... -0.19267043 -0.38845986
   0.27998143]
 [-0.09299336  0.3444246   0.09927902 ... -0.2239922  -0.27603903
   0.31681567]
 [-0.11538368  0.27931792  0.11218997 ... -0.34592837 -0.330812
   0.33948338]]","[[0 1 2 1 1 3 1 4 0 2 0 3 0 4]
 [1 0 1 2 3 1 4 1 2 0 3 0 4 0]]",[1 1 0 0 0 0 0 0 1 1 1 1 1 1],[0],5,138_sample-0_PreparedStatement.executeQuery_graph_dump.txt
5,"[[-0.1011878   0.29866314  0.00152537 ... -0.18443201 -0.35421786
   0.2920185 ]
 [-0.13250841  0.32983732  0.11020697 ... -0.25266317 -0.30695257
   0.31985438]]","[[0 1]
 [1 0]]",[1 1],[0],2,226_sample-0_PreparedStatement.executeQuery_graph_dump.txt
6,"[[-0.01389707  0.31776664  0.09791761 ... -0.19182728 -0.34930262
   0.24360356]
 [-0.11089072  0.32666057  0.16542143 ... -0.22467975 -0.30934817
   0.3008332 ]
 [-0.05713415  0.17730337  0.01642806 ... -0.06963698 -0.41552657
   0.31143475]
 [-0.05803538  0.23749457  0.06251837 ... -0.15084381 -0.34112272
   0.28845242]
 [-0.08256935  0.280262    0.06122608 ... -0.20406285 -0.34964183
   0.3329701 ]
 [-0.12051895  0.3847501   0.09546477 ... -0.2408664  -0.27755266
   0.34003985]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 3 4 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 3 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,37_sample-0_PreparedStatement.executeQuery_graph_dump.txt
7,"[[-0.07297602  0.28597885  0.07838263 ... -0.15976763 -0.32888663
   0.34359378]
 [-0.12395582  0.31014127  0.16739663 ... -0.2069653  -0.30253607
   0.28232905]
 [-0.02273919  0.22282888  0.08168741 ... -0.3864857  -0.27604932
   0.24551775]
 [-0.08209039  0.27758685  0.08027826 ... -0.21914434 -0.33977598
   0.3313881 ]
 [-0.0464948   0.18062791 -0.0402268  ... -0.28944916 -0.32522333
   0.3695596 ]
 [-0.0946791   0.2827386   0.08888127 ... -0.20687717 -0.33427662
   0.33237466]]","[[0 1 2 1 1 3 1 4 1 5 0 2 0 3 0 4 0 5]
 [1 0 1 2 3 1 4 1 5 1 2 0 3 0 4 0 5 0]]",[1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],[0],6,9_sample-0_PreparedStatement.executeQuery_graph_dump.txt
8,"[[-0.07121626  0.25680682  0.03263098 ... -0.27351075 -0.35371062
   0.31429496]
 [-0.13250841  0.32983732  0.11020697 ... -0.25266317 -0.30695257
   0.31985438]]","[[0 1]
 [1 0]]",[1 1],[0],2,192_sample-0_PreparedStatement.executeQuery_graph_dump.txt
9,"[[-0.10930359  0.29086238  0.09646747 ... -0.22737001 -0.36663947
   0.34991622]
 [-0.15188539  0.2981617   0.12372    ... -0.24081196 -0.30374664
   0.36331898]
 [-0.13606384  0.2766307   0.07743803 ... -0.19571383 -0.3151207
   0.37648523]]","[[0 1 2 1 0 2]
 [1 0 1 2 2 0]]",[1 1 0 0 1 1],[0],3,2_sample-8_PreparedStatement.executeQuery_graph_dump.txt
